iin	V(n001)	I(Iin)
0.000000000000000e+000	4.995151e+000	0.000000e+000
1.000000000000000e-008	4.434155e+000	1.000000e-008
2.000000000000000e-008	4.401848e+000	2.000000e-008
3.000000000000000e-008	4.381647e+000	3.000000e-008
4.000000000000000e-008	4.366465e+000	4.000000e-008
5.000000000000000e-008	4.354009e+000	5.000000e-008
6.000000000000000e-008	4.343427e+000	6.000000e-008
6.999999999999999e-008	4.334091e+000	7.000000e-008
7.999999999999999e-008	4.325687e+000	8.000000e-008
8.999999999999999e-008	4.318013e+000	9.000000e-008
9.999999999999998e-008	4.310926e+000	1.000000e-007
1.100000000000000e-007	4.304323e+000	1.100000e-007
1.200000000000000e-007	4.298125e+000	1.200000e-007
1.300000000000000e-007	4.292274e+000	1.300000e-007
1.400000000000000e-007	4.286723e+000	1.400000e-007
1.500000000000000e-007	4.281433e+000	1.500000e-007
1.600000000000000e-007	4.276375e+000	1.600000e-007
1.700000000000000e-007	4.271524e+000	1.700000e-007
1.800000000000001e-007	4.266858e+000	1.800000e-007
1.900000000000001e-007	4.262359e+000	1.900000e-007
2.000000000000001e-007	4.258012e+000	2.000000e-007
2.100000000000001e-007	4.253804e+000	2.100000e-007
2.200000000000001e-007	4.249723e+000	2.200000e-007
2.300000000000001e-007	4.245760e+000	2.300000e-007
2.400000000000001e-007	4.241905e+000	2.400000e-007
2.500000000000001e-007	4.238152e+000	2.500000e-007
2.600000000000001e-007	4.234492e+000	2.600000e-007
2.700000000000001e-007	4.230920e+000	2.700000e-007
2.800000000000001e-007	4.227430e+000	2.800000e-007
2.900000000000001e-007	4.224017e+000	2.900000e-007
3.000000000000002e-007	4.220677e+000	3.000000e-007
3.100000000000002e-007	4.217406e+000	3.100000e-007
3.200000000000002e-007	4.214199e+000	3.200000e-007
3.300000000000002e-007	4.211053e+000	3.300000e-007
3.400000000000002e-007	4.207966e+000	3.400000e-007
3.500000000000002e-007	4.204934e+000	3.500000e-007
3.600000000000002e-007	4.201954e+000	3.600000e-007
3.700000000000002e-007	4.199025e+000	3.700000e-007
3.800000000000002e-007	4.196143e+000	3.800000e-007
3.900000000000002e-007	4.193307e+000	3.900000e-007
4.000000000000003e-007	4.190515e+000	4.000000e-007
4.100000000000003e-007	4.187764e+000	4.100000e-007
4.200000000000003e-007	4.185054e+000	4.200000e-007
4.300000000000003e-007	4.182382e+000	4.300000e-007
4.400000000000003e-007	4.179747e+000	4.400000e-007
4.500000000000003e-007	4.177148e+000	4.500000e-007
4.600000000000003e-007	4.174583e+000	4.600000e-007
4.700000000000003e-007	4.172051e+000	4.700000e-007
4.800000000000003e-007	4.169551e+000	4.800000e-007
4.900000000000003e-007	4.167082e+000	4.900000e-007
5.000000000000003e-007	4.164642e+000	5.000000e-007
5.100000000000003e-007	4.162231e+000	5.100000e-007
5.200000000000003e-007	4.159848e+000	5.200000e-007
5.300000000000003e-007	4.157492e+000	5.300000e-007
5.400000000000003e-007	4.155162e+000	5.400000e-007
5.500000000000004e-007	4.152857e+000	5.500000e-007
5.600000000000004e-007	4.150576e+000	5.600000e-007
5.700000000000004e-007	4.148319e+000	5.700000e-007
5.800000000000004e-007	4.146085e+000	5.800000e-007
5.900000000000004e-007	4.143874e+000	5.900000e-007
6.000000000000004e-007	4.141684e+000	6.000000e-007
