iin	I(Iin)	I(V1)
0.000000000000000e+000	0.000000e+000	3.015858e-011
1.000000000000000e-008	1.000000e-008	1.169367e-008
2.000000000000000e-008	2.000000e-008	2.329668e-008
3.000000000000000e-008	3.000000e-008	3.479411e-008
4.000000000000000e-008	4.000000e-008	4.621142e-008
5.000000000000000e-008	5.000000e-008	5.756633e-008
6.000000000000000e-008	6.000000e-008	6.887098e-008
6.999999999999999e-008	7.000000e-008	8.013401e-008
7.999999999999999e-008	8.000000e-008	9.136183e-008
8.999999999999999e-008	9.000000e-008	1.025593e-007
9.999999999999998e-008	1.000000e-007	1.137302e-007
1.100000000000000e-007	1.100000e-007	1.248777e-007
1.200000000000000e-007	1.200000e-007	1.360041e-007
1.300000000000000e-007	1.300000e-007	1.471116e-007
1.400000000000000e-007	1.400000e-007	1.582020e-007
1.500000000000000e-007	1.500000e-007	1.692766e-007
1.600000000000000e-007	1.600000e-007	1.803368e-007
1.700000000000000e-007	1.700000e-007	1.913836e-007
1.800000000000001e-007	1.800000e-007	2.024181e-007
1.900000000000001e-007	1.900000e-007	2.134410e-007
2.000000000000001e-007	2.000000e-007	2.244530e-007
2.100000000000001e-007	2.100000e-007	2.354549e-007
2.200000000000001e-007	2.200000e-007	2.464473e-007
2.300000000000001e-007	2.300000e-007	2.574307e-007
2.400000000000001e-007	2.400000e-007	2.684055e-007
2.500000000000001e-007	2.500000e-007	2.793722e-007
2.600000000000001e-007	2.600000e-007	2.903313e-007
2.700000000000001e-007	2.700000e-007	3.012830e-007
2.800000000000001e-007	2.800000e-007	3.122277e-007
2.900000000000001e-007	2.900000e-007	3.231658e-007
3.000000000000002e-007	3.000000e-007	3.340974e-007
3.100000000000002e-007	3.100000e-007	3.450229e-007
3.200000000000002e-007	3.200000e-007	3.559426e-007
3.300000000000002e-007	3.300000e-007	3.668566e-007
3.400000000000002e-007	3.400000e-007	3.777651e-007
3.500000000000002e-007	3.500000e-007	3.886684e-007
3.600000000000002e-007	3.600000e-007	3.995667e-007
3.700000000000002e-007	3.700000e-007	4.104600e-007
3.800000000000002e-007	3.800000e-007	4.213487e-007
3.900000000000002e-007	3.900000e-007	4.322328e-007
4.000000000000003e-007	4.000000e-007	4.431124e-007
4.100000000000003e-007	4.100000e-007	4.539878e-007
4.200000000000003e-007	4.200000e-007	4.648590e-007
4.300000000000003e-007	4.300000e-007	4.757261e-007
4.400000000000003e-007	4.400000e-007	4.865894e-007
4.500000000000003e-007	4.500000e-007	4.974488e-007
4.600000000000003e-007	4.600000e-007	5.083045e-007
4.700000000000003e-007	4.700000e-007	5.191567e-007
4.800000000000003e-007	4.800000e-007	5.300053e-007
4.900000000000003e-007	4.900000e-007	5.408505e-007
5.000000000000003e-007	5.000000e-007	5.516923e-007
5.100000000000003e-007	5.100000e-007	5.625309e-007
5.200000000000003e-007	5.200000e-007	5.733664e-007
5.300000000000003e-007	5.300000e-007	5.841987e-007
5.400000000000003e-007	5.400000e-007	5.950280e-007
5.500000000000004e-007	5.500000e-007	6.058543e-007
5.600000000000004e-007	5.600000e-007	6.166778e-007
5.700000000000004e-007	5.700000e-007	6.274984e-007
5.800000000000004e-007	5.800000e-007	6.383162e-007
5.900000000000004e-007	5.900000e-007	6.491313e-007
6.000000000000004e-007	6.000000e-007	6.599437e-007
6.100000000000004e-007	6.100000e-007	6.707536e-007
6.200000000000004e-007	6.200000e-007	6.815609e-007
6.300000000000004e-007	6.300000e-007	6.923657e-007
6.400000000000004e-007	6.400000e-007	7.031680e-007
6.500000000000005e-007	6.500000e-007	7.139679e-007
6.600000000000005e-007	6.600000e-007	7.247655e-007
6.700000000000005e-007	6.700000e-007	7.355607e-007
6.800000000000005e-007	6.800000e-007	7.463537e-007
6.900000000000005e-007	6.900000e-007	7.571444e-007
7.000000000000005e-007	7.000000e-007	7.679329e-007
7.100000000000005e-007	7.100000e-007	7.787193e-007
7.200000000000005e-007	7.200000e-007	7.895035e-007
7.300000000000005e-007	7.300000e-007	8.002856e-007
7.400000000000005e-007	7.400000e-007	8.110658e-007
7.500000000000006e-007	7.500000e-007	8.218438e-007
7.600000000000006e-007	7.600000e-007	8.326199e-007
7.700000000000006e-007	7.700000e-007	8.433940e-007
