vout	Ix(U1:DRAIN)
0.000000000000000e+000	-1.090718e-006
1.000000000000000e-002	-1.090564e-006
2.000000000000000e-002	-1.090410e-006
3.000000000000000e-002	-1.090256e-006
4.000000000000000e-002	-1.090101e-006
5.000000000000000e-002	-1.089946e-006
6.000000000000001e-002	-1.089791e-006
7.000000000000001e-002	-1.089636e-006
8.000000000000000e-002	-1.089481e-006
9.000000000000000e-002	-1.089325e-006
9.999999999999999e-002	-1.089170e-006
1.100000000000000e-001	-1.089014e-006
1.200000000000000e-001	-1.088858e-006
1.300000000000000e-001	-1.088702e-006
1.400000000000000e-001	-1.088545e-006
1.500000000000000e-001	-1.088389e-006
1.600000000000000e-001	-1.088232e-006
1.700000000000000e-001	-1.088075e-006
1.800000000000000e-001	-1.087918e-006
1.900000000000000e-001	-1.087760e-006
2.000000000000000e-001	-1.087603e-006
2.100000000000001e-001	-1.087445e-006
2.200000000000001e-001	-1.087287e-006
2.300000000000001e-001	-1.087129e-006
2.400000000000001e-001	-1.086970e-006
2.500000000000001e-001	-1.086812e-006
2.600000000000001e-001	-1.086653e-006
2.700000000000001e-001	-1.086494e-006
2.800000000000001e-001	-1.086335e-006
2.900000000000001e-001	-1.086175e-006
3.000000000000001e-001	-1.086016e-006
3.100000000000001e-001	-1.085856e-006
3.200000000000001e-001	-1.085696e-006
3.300000000000001e-001	-1.085536e-006
3.400000000000001e-001	-1.085376e-006
3.500000000000001e-001	-1.085215e-006
3.600000000000002e-001	-1.085054e-006
3.700000000000002e-001	-1.084893e-006
3.800000000000002e-001	-1.084732e-006
3.900000000000002e-001	-1.084570e-006
4.000000000000002e-001	-1.084409e-006
4.100000000000002e-001	-1.084247e-006
4.200000000000002e-001	-1.084085e-006
4.300000000000002e-001	-1.083923e-006
4.400000000000002e-001	-1.083760e-006
4.500000000000002e-001	-1.083598e-006
4.600000000000002e-001	-1.083435e-006
4.700000000000003e-001	-1.083272e-006
4.800000000000003e-001	-1.083108e-006
4.900000000000003e-001	-1.082945e-006
5.000000000000002e-001	-1.082781e-006
