vdm	Ix(M1:DRAIN)
Step Information: V2=500m  (Run: 1/3)
-3.000000000000000e-001	-5.206489e-008
-2.900000000000000e-001	-5.204887e-008
-2.800000000000000e-001	-5.203091e-008
-2.700000000000000e-001	-5.201285e-008
-2.600000000000000e-001	-5.199369e-008
-2.499999999999999e-001	-5.197294e-008
-2.399999999999999e-001	-5.194995e-008
-2.299999999999999e-001	-5.192376e-008
-2.199999999999999e-001	-5.189304e-008
-2.099999999999999e-001	-5.185585e-008
-1.999999999999999e-001	-5.180951e-008
-1.899999999999999e-001	-5.175019e-008
-1.799999999999999e-001	-5.167254e-008
-1.699999999999999e-001	-5.156913e-008
-1.599999999999999e-001	-5.142969e-008
-1.499999999999999e-001	-5.124032e-008
-1.399999999999999e-001	-5.098248e-008
-1.299999999999998e-001	-5.063221e-008
-1.199999999999998e-001	-5.015963e-008
-1.099999999999999e-001	-4.952932e-008
-9.999999999999985e-002	-4.870194e-008
-8.999999999999986e-002	-4.763758e-008
-7.999999999999986e-002	-4.630040e-008
-6.999999999999987e-002	-4.466394e-008
-5.999999999999987e-002	-4.271573e-008
-4.999999999999986e-002	-4.046013e-008
-3.999999999999986e-002	-3.791886e-008
-2.999999999999986e-002	-3.512960e-008
-1.999999999999986e-002	-3.214318e-008
-9.999999999999858e-003	-2.902030e-008
1.422473250300982e-016	-2.582808e-008
1.000000000000014e-002	-2.263684e-008
2.000000000000014e-002	-1.951689e-008
3.000000000000015e-002	-1.653542e-008
4.000000000000015e-002	-1.375318e-008
5.000000000000015e-002	-1.122105e-008
6.000000000000015e-002	-8.976656e-009
7.000000000000015e-002	-7.041585e-009
8.000000000000014e-002	-5.419918e-009
9.000000000000014e-002	-4.098807e-009
1.000000000000001e-001	-3.051356e-009
1.100000000000001e-001	-2.241317e-009
1.200000000000001e-001	-1.628431e-009
1.300000000000001e-001	-1.173157e-009
1.400000000000001e-001	-8.399469e-010
1.500000000000001e-001	-5.988846e-010
1.600000000000001e-001	-4.260152e-010
1.700000000000002e-001	-3.028563e-010
1.800000000000002e-001	-2.155310e-010
1.900000000000002e-001	-1.538263e-010
2.000000000000002e-001	-1.103321e-010
2.100000000000002e-001	-7.972748e-011
2.200000000000002e-001	-5.821876e-011
2.300000000000002e-001	-4.311545e-011
2.400000000000002e-001	-3.251624e-011
2.500000000000002e-001	-2.508090e-011
2.600000000000002e-001	-1.986644e-011
2.700000000000002e-001	-1.621015e-011
2.800000000000003e-001	-1.364673e-011
2.900000000000003e-001	-1.184963e-011
3.000000000000000e-001	-1.058981e-011
Step Information: V2=1.5  (Run: 2/3)
-3.000000000000000e-001	-5.043451e-008
-2.900000000000000e-001	-5.041689e-008
-2.800000000000000e-001	-5.039686e-008
-2.700000000000000e-001	-5.037696e-008
-2.600000000000000e-001	-5.035596e-008
-2.499999999999999e-001	-5.033340e-008
-2.399999999999999e-001	-5.030862e-008
-2.299999999999999e-001	-5.028071e-008
-2.199999999999999e-001	-5.024838e-008
-2.099999999999999e-001	-5.020977e-008
-1.999999999999999e-001	-5.016232e-008
-1.899999999999999e-001	-5.010237e-008
-1.799999999999999e-001	-5.002485e-008
-1.699999999999999e-001	-4.992271e-008
-1.599999999999999e-001	-4.978628e-008
-1.499999999999999e-001	-4.960241e-008
-1.399999999999999e-001	-4.935365e-008
-1.299999999999998e-001	-4.901734e-008
-1.199999999999998e-001	-4.856514e-008
-1.099999999999999e-001	-4.796317e-008
-9.999999999999985e-002	-4.717339e-008
-8.999999999999986e-002	-4.615650e-008
-7.999999999999986e-002	-4.487637e-008
-6.999999999999987e-002	-4.330514e-008
-5.999999999999987e-002	-4.142817e-008
-4.999999999999986e-002	-3.924733e-008
-3.999999999999986e-002	-3.678205e-008
-2.999999999999986e-002	-3.406837e-008
-1.999999999999986e-002	-3.115634e-008
-9.999999999999858e-003	-2.810664e-008
1.422473250300982e-016	-2.498699e-008
1.000000000000014e-002	-2.186860e-008
2.000000000000014e-002	-1.882269e-008
3.000000000000015e-002	-1.591698e-008
4.000000000000015e-002	-1.321213e-008
5.000000000000015e-002	-1.075810e-008
6.000000000000015e-002	-8.590747e-009
7.000000000000015e-002	-6.729252e-009
8.000000000000014e-002	-5.175079e-009
9.000000000000014e-002	-3.913125e-009
1.000000000000001e-001	-2.915101e-009
1.100000000000001e-001	-2.144447e-009
1.200000000000001e-001	-1.561582e-009
1.300000000000001e-001	-1.128294e-009
1.400000000000001e-001	-8.106322e-010
1.500000000000001e-001	-5.802352e-010
1.600000000000001e-001	-4.144886e-010
1.700000000000002e-001	-2.959710e-010
1.800000000000002e-001	-2.115985e-010
1.900000000000002e-001	-1.517251e-010
2.000000000000002e-001	-1.093336e-010
2.100000000000002e-001	-7.936794e-011
2.200000000000002e-001	-5.820965e-011
2.300000000000002e-001	-4.328184e-011
2.400000000000002e-001	-3.275549e-011
2.500000000000002e-001	-2.533552e-011
2.600000000000002e-001	-2.010647e-011
2.700000000000002e-001	-1.642198e-011
2.800000000000003e-001	-1.382605e-011
2.900000000000003e-001	-1.199716e-011
3.000000000000000e-001	-1.070867e-011
Step Information: V2=2.5  (Run: 3/3)
-3.000000000000000e-001	-4.858256e-008
-2.900000000000000e-001	-4.856260e-008
-2.800000000000000e-001	-4.853926e-008
-2.700000000000000e-001	-4.851649e-008
-2.600000000000000e-001	-4.849257e-008
-2.499999999999999e-001	-4.846703e-008
-2.399999999999999e-001	-4.843923e-008
-2.299999999999999e-001	-4.840826e-008
-2.199999999999999e-001	-4.837284e-008
-2.099999999999999e-001	-4.833115e-008
-1.999999999999999e-001	-4.828069e-008
-1.899999999999999e-001	-4.821794e-008
-1.799999999999999e-001	-4.813801e-008
-1.699999999999999e-001	-4.803416e-008
-1.599999999999999e-001	-4.789721e-008
-1.499999999999999e-001	-4.771474e-008
-1.399999999999999e-001	-4.747031e-008
-1.299999999999998e-001	-4.714264e-008
-1.199999999999998e-001	-4.670512e-008
-1.099999999999999e-001	-4.612583e-008
-9.999999999999985e-002	-4.536872e-008
-8.999999999999986e-002	-4.439610e-008
-7.999999999999986e-002	-4.317264e-008
-6.999999999999987e-002	-4.167024e-008
-5.999999999999987e-002	-3.987293e-008
-4.999999999999986e-002	-3.778046e-008
-3.999999999999986e-002	-3.540993e-008
-2.999999999999986e-002	-3.279519e-008
-1.999999999999986e-002	-2.998461e-008
-9.999999999999858e-003	-2.703780e-008
1.422473250300982e-016	-2.402190e-008
1.000000000000014e-002	-2.100776e-008
2.000000000000014e-002	-1.806621e-008
3.000000000000015e-002	-1.526428e-008
4.000000000000015e-002	-1.266137e-008
5.000000000000015e-002	-1.030556e-008
6.000000000000015e-002	-8.230294e-009
7.000000000000015e-002	-6.452157e-009
8.000000000000014e-002	-4.970340e-009
9.000000000000014e-002	-3.768305e-009
1.000000000000001e-001	-2.817479e-009
1.100000000000001e-001	-2.082157e-009
1.200000000000001e-001	-1.524435e-009
1.300000000000001e-001	-1.108159e-009
1.400000000000001e-001	-8.014216e-010
1.500000000000001e-001	-5.776402e-010
1.600000000000001e-001	-4.156078e-010
1.700000000000002e-001	-2.989421e-010
1.800000000000002e-001	-2.152853e-010
1.900000000000002e-001	-1.554755e-010
2.000000000000002e-001	-1.128052e-010
2.100000000000002e-001	-8.240835e-011
2.200000000000002e-001	-6.077711e-011
2.300000000000002e-001	-4.539473e-011
2.400000000000002e-001	-3.446126e-011
2.500000000000002e-001	-2.669240e-011
2.600000000000002e-001	-2.117323e-011
2.700000000000002e-001	-1.725270e-011
2.800000000000003e-001	-1.446788e-011
2.900000000000003e-001	-1.248978e-011
3.000000000000000e-001	-1.108465e-011
