vdm	Ix(M2:SOURCE)
Step Information: V2=500m  (Run: 1/3)
-3.000000000000000e-001	-1.057900e-011
-2.900000000000000e-001	-1.183932e-011
-2.800000000000000e-001	-1.363862e-011
-2.700000000000000e-001	-1.620756e-011
-2.600000000000000e-001	-1.987463e-011
-2.499999999999999e-001	-2.510825e-011
-2.399999999999999e-001	-3.257572e-011
-2.299999999999999e-001	-4.322681e-011
-2.199999999999999e-001	-5.841145e-011
-2.099999999999999e-001	-8.004484e-011
-1.999999999999999e-001	-1.108369e-010
-1.899999999999999e-001	-1.546078e-010
-1.799999999999999e-001	-2.167144e-010
-1.699999999999999e-001	-3.046128e-010
-1.599999999999999e-001	-4.285731e-010
-1.499999999999999e-001	-6.025382e-010
-1.399999999999999e-001	-8.450586e-010
-1.299999999999998e-001	-1.180145e-009
-1.199999999999998e-001	-1.637734e-009
-1.099999999999999e-001	-2.253331e-009
-9.999999999999985e-002	-3.066339e-009
-8.999999999999986e-002	-4.116770e-009
-7.999999999999986e-002	-5.440540e-009
-6.999999999999987e-002	-7.064170e-009
-5.999999999999987e-002	-9.000162e-009
-4.999999999999986e-002	-1.124418e-008
-3.999999999999986e-002	-1.377450e-008
-2.999999999999986e-002	-1.655345e-008
-1.999999999999986e-002	-1.953022e-008
-9.999999999999858e-003	-2.264414e-008
1.422473250300982e-016	-2.582808e-008
1.000000000000014e-002	-2.901176e-008
2.000000000000014e-002	-3.212486e-008
3.000000000000015e-002	-3.510018e-008
4.000000000000015e-002	-3.787695e-008
5.000000000000015e-002	-4.040428e-008
6.000000000000015e-002	-4.264452e-008
7.000000000000015e-002	-4.457603e-008
8.000000000000014e-002	-4.619471e-008
9.000000000000014e-002	-4.751338e-008
1.000000000000001e-001	-4.855888e-008
1.100000000000001e-001	-4.936742e-008
1.200000000000001e-001	-4.997918e-008
1.300000000000001e-001	-5.043364e-008
1.400000000000001e-001	-5.076627e-008
1.500000000000001e-001	-5.100692e-008
1.600000000000001e-001	-5.117951e-008
1.700000000000002e-001	-5.130248e-008
1.800000000000002e-001	-5.138967e-008
1.900000000000002e-001	-5.145128e-008
2.000000000000002e-001	-5.149471e-008
2.100000000000002e-001	-5.152527e-008
2.200000000000002e-001	-5.154674e-008
2.300000000000002e-001	-5.156182e-008
2.400000000000002e-001	-5.157241e-008
2.500000000000002e-001	-5.157983e-008
2.600000000000002e-001	-5.158504e-008
2.700000000000002e-001	-5.158869e-008
2.800000000000003e-001	-5.159125e-008
2.900000000000003e-001	-5.159304e-008
3.000000000000000e-001	-5.159430e-008
Step Information: V2=1.5  (Run: 2/3)
-3.000000000000000e-001	-1.065622e-011
-2.900000000000000e-001	-1.193220e-011
-2.800000000000000e-001	-1.374630e-011
-2.700000000000000e-001	-1.632578e-011
-2.600000000000000e-001	-1.999272e-011
-2.499999999999999e-001	-2.520451e-011
-2.399999999999999e-001	-3.261006e-011
-2.299999999999999e-001	-4.312904e-011
-2.199999999999999e-001	-5.806329e-011
-2.099999999999999e-001	-7.925226e-011
-1.999999999999999e-001	-1.092884e-010
-1.899999999999999e-001	-1.518128e-010
-1.799999999999999e-001	-2.119131e-010
-1.699999999999999e-001	-2.966500e-010
-1.599999999999999e-001	-4.157256e-010
-1.499999999999999e-001	-5.822934e-010
-1.399999999999999e-001	-8.138526e-010
