vdm	V(n001)
Step Information: V2=500m  (Run: 1/3)
-3.000000000000000e-001	1.366157e+000
-2.900000000000000e-001	1.375404e+000
-2.800000000000000e-001	1.384648e+000
-2.700000000000000e-001	1.393892e+000
-2.600000000000000e-001	1.403133e+000
-2.499999999999999e-001	1.412372e+000
-2.399999999999999e-001	1.421609e+000
-2.299999999999999e-001	1.430842e+000
-2.199999999999999e-001	1.440070e+000
-2.099999999999999e-001	1.449291e+000
-1.999999999999999e-001	1.458504e+000
-1.899999999999999e-001	1.467705e+000
-1.799999999999999e-001	1.476888e+000
-1.699999999999999e-001	1.486049e+000
-1.599999999999999e-001	1.495176e+000
-1.499999999999999e-001	1.504259e+000
-1.399999999999999e-001	1.513281e+000
-1.299999999999998e-001	1.522219e+000
-1.199999999999998e-001	1.531047e+000
-1.099999999999999e-001	1.539730e+000
-9.999999999999985e-002	1.548229e+000
-8.999999999999986e-002	1.556500e+000
-7.999999999999986e-002	1.564499e+000
-6.999999999999987e-002	1.572184e+000
-5.999999999999987e-002	1.579518e+000
-4.999999999999986e-002	1.586471e+000
-3.999999999999986e-002	1.593022e+000
-2.999999999999986e-002	1.599153e+000
-1.999999999999986e-002	1.604856e+000
-9.999999999999858e-003	1.610126e+000
1.422473250300982e-016	1.614958e+000
1.000000000000014e-002	1.619353e+000
2.000000000000014e-002	1.623311e+000
3.000000000000015e-002	1.626835e+000
4.000000000000015e-002	1.629930e+000
5.000000000000015e-002	1.632606e+000
6.000000000000015e-002	1.634879e+000
7.000000000000015e-002	1.636770e+000
8.000000000000014e-002	1.638311e+000
9.000000000000014e-002	1.639538e+000
1.000000000000001e-001	1.640493e+000
1.100000000000001e-001	1.641222e+000
1.200000000000001e-001	1.641768e+000
1.300000000000001e-001	1.642171e+000
1.400000000000001e-001	1.642464e+000
1.500000000000001e-001	1.642675e+000
1.600000000000001e-001	1.642826e+000
1.700000000000002e-001	1.642934e+000
1.800000000000002e-001	1.643010e+000
1.900000000000002e-001	1.643063e+000
2.000000000000002e-001	1.643101e+000
2.100000000000002e-001	1.643128e+000
2.200000000000002e-001	1.643147e+000
2.300000000000002e-001	1.643160e+000
2.400000000000002e-001	1.643169e+000
2.500000000000002e-001	1.643175e+000
2.600000000000002e-001	1.643180e+000
2.700000000000002e-001	1.643183e+000
2.800000000000003e-001	1.643185e+000
2.900000000000003e-001	1.643187e+000
3.000000000000000e-001	1.643188e+000
Step Information: V2=1.5  (Run: 2/3)
-3.000000000000000e-001	2.286038e+000
-2.900000000000000e-001	2.295180e+000
-2.800000000000000e-001	2.304319e+000
-2.700000000000000e-001	2.313457e+000
-2.600000000000000e-001	2.322592e+000
-2.499999999999999e-001	2.331725e+000
-2.399999999999999e-001	2.340855e+000
-2.299999999999999e-001	2.349980e+000
-2.199999999999999e-001	2.359101e+000
-2.099999999999999e-001	2.368214e+000
-1.999999999999999e-001	2.377319e+000
-1.899999999999999e-001	2.386411e+000
-1.799999999999999e-001	2.395487e+000
-1.699999999999999e-001	2.404540e+000
-1.599999999999999e-001	2.413561e+000
-1.499999999999999e-001	2.422539e+000
-1.399999999999999e-001	2.431458e+000
-1.299999999999998e-001	2.440298e+000
-1.199999999999998e-001	2.449032e+000
-1.099999999999999e-001	2.457627e+000
-9.999999999999985e-002	2.466045e+000
-8.999999999999986e-002	2.474245e+000
-7.999999999999986e-002	2.482180e+000
-6.999999999999987e-002	2.489809e+000
-5.999999999999987e-002	2.497092e+000
-4.999999999999986e-002	2.503999e+000
-3.999999999999986e-002	2.510503e+000
-2.999999999999986e-002	2.516588e+000
-1.999999999999986e-002	2.522243e+000
-9.999999999999858e-003	2.527460e+000
1.422473250300982e-016	2.532236e+000
1.000000000000014e-002	2.536570e+000
2.000000000000014e-002	2.540463e+000
3.000000000000015e-002	2.543919e+000
4.000000000000015e-002	2.546943e+000
5.000000000000015e-002	2.549549e+000
6.000000000000015e-002	2.551752e+000
7.000000000000015e-002	2.553579e+000
8.000000000000014e-002	2.555061e+000
9.000000000000014e-002	2.556237e+000
1.000000000000001e-001	2.557151e+000
1.100000000000001e-001	2.557848e+000
1.200000000000001e-001	2.558369e+000
1.300000000000001e-001	2.558754e+000
1.400000000000001e-001	2.559034e+000
1.500000000000001e-001	2.559237e+000
1.600000000000001e-001	2.559382e+000
1.700000000000002e-001	2.559486e+000
1.800000000000002e-001	2.559560e+000
1.900000000000002e-001	2.559612e+000
2.000000000000002e-001	2.559649e+000
2.100000000000002e-001	2.559675e+000
2.200000000000002e-001	2.559694e+000
2.300000000000002e-001	2.559707e+000
2.400000000000002e-001	2.559716e+000
2.500000000000002e-001	2.559723e+000
2.600000000000002e-001	2.559727e+000
2.700000000000002e-001	2.559730e+000
2.800000000000003e-001	2.559733e+000
2.900000000000003e-001	2.559734e+000
3.000000000000000e-001	2.559735e+000
Step Information: V2=2.5  (Run: 3/3)
-3.000000000000000e-001	3.192917e+000
-2.900000000000000e-001	3.201898e+000
-2.800000000000000e-001	3.210873e+000
-2.700000000000000e-001	3.219846e+000
-2.600000000000000e-001	3.228817e+000
-2.499999999999999e-001	3.237784e+000
-2.399999999999999e-001	3.246747e+000
-2.299999999999999e-001	3.255705e+000
-2.199999999999999e-001	3.264657e+000
-2.099999999999999e-001	3.273601e+000
-1.999999999999999e-001	3.282536e+000
-1.899999999999999e-001	3.291457e+000
-1.799999999999999e-001	3.300361e+000
-1.699999999999999e-001	3.309242e+000
-1.599999999999999e-001	3.318091e+000
-1.499999999999999e-001	3.326898e+000
-1.399999999999999e-001	3.335647e+000
-1.299999999999998e-001	3.344319e+000
-1.199999999999998e-001	3.352889e+000
-1.099999999999999e-001	3.361325e+000
-9.999999999999985e-002	3.369592e+000
-8.999999999999986e-002	3.377649e+000
-7.999999999999986e-002	3.385452e+000
-6.999999999999987e-002	3.392958e+000
-5.999999999999987e-002	3.400127e+000
-4.999999999999986e-002	3.406927e+000
-3.999999999999986e-002	3.413330e+000
-2.999999999999986e-002	3.419317e+000
-1.999999999999986e-002	3.424877e+000
-9.999999999999858e-003	3.430000e+000
1.422473250300982e-016	3.434682e+000
1.000000000000014e-002	3.438921e+000
2.000000000000014e-002	3.442721e+000
3.000000000000015e-002	3.446084e+000
4.000000000000015e-002	3.449019e+000
5.000000000000015e-002	3.451540e+000
6.000000000000015e-002	3.453665e+000
7.000000000000015e-002	3.455422e+000
8.000000000000014e-002	3.456844e+000
9.000000000000014e-002	3.457972e+000
1.000000000000001e-001	3.458849e+000
1.100000000000001e-001	3.459517e+000
1.200000000000001e-001	3.460019e+000
1.300000000000001e-001	3.460391e+000
1.400000000000001e-001	3.460664e+000
1.500000000000001e-001	3.460862e+000
1.600000000000001e-001	3.461005e+000
1.700000000000002e-001	3.461108e+000
1.800000000000002e-001	3.461181e+000
1.900000000000002e-001	3.461234e+000
2.000000000000002e-001	3.461271e+000
2.100000000000002e-001	3.461298e+000
2.200000000000002e-001	3.461317e+000
2.300000000000002e-001	3.461330e+000
2.400000000000002e-001	3.461340e+000
2.500000000000002e-001	3.461347e+000
2.600000000000002e-001	3.461352e+000
2.700000000000002e-001	3.461355e+000
2.800000000000003e-001	3.461358e+000
2.900000000000003e-001	3.461359e+000
3.000000000000000e-001	3.461360e+000
